lower_speed,upper_speed,centerline,lower_lanes,upper_lanes,bike_lane,lower_bl_width,upper_bl_width,parking,freq_bl_blockage,lower_adt,upper_adt,func_class,blts_score
0,25,Yes,1,2,Yes,15,999,Yes,,,,,1
0,25,Yes,1,2,Yes,14,14.5,Yes,,,,,2
0,25,Yes,1,2,Yes,0,13,Yes,,,,,3
0,25,Yes,3,999,Yes,15,999,Yes,,,,,2
0,25,Yes,3,999,Yes,0,14.5,Yes,,,,,3
30,30,Yes,1,2,Yes,15,999,Yes,,,,,1
30,30,Yes,1,2,Yes,14,14.5,Yes,,,,,2
30,30,Yes,1,2,Yes,0,13,Yes,,,,,3
30,30,Yes,3,999,Yes,15,999,Yes,,,,,2
30,30,Yes,3,999,Yes,0,14.5,Yes,,,,,3
35,35,Yes,1,2,Yes,15,999,Yes,,,,,2
35,35,Yes,1,2,Yes,14,14.5,Yes,,,,,3
35,35,Yes,1,2,Yes,0,13,Yes,,,,,3
35,35,Yes,3,999,Yes,15,999,Yes,,,,,3
35,35,Yes,3,999,Yes,0,14.5,Yes,,,,,3
40,999,Yes,1,2,Yes,15,999,Yes,,,,,2
40,999,Yes,1,2,Yes,14,14.5,Yes,,,,,4
40,999,Yes,1,2,Yes,0,13,Yes,,,,,4
40,999,Yes,3,999,Yes,15,999,Yes,,,,,3
40,999,Yes,3,999,Yes,0,14.5,Yes,,,,,4
0,30,Yes,1,2,Yes,7,999,No,No,,,,1
0,30,Yes,1,2,Yes,5.5,6.5,No,No,,,,1
0,30,Yes,1,2,Yes,0,5,No,No,,,,2
0,30,Yes,1,2,Yes,0,999,No,Yes,,,,3
0,30,Yes,3,999,Yes,7,999,No,No,,,,1
0,30,Yes,3,999,Yes,0,6.5,No,No,,,,3
35,35,Yes,1,2,Yes,7,999,No,No,,,,2
35,35,Yes,1,2,Yes,5.5,6.5,No,No,,,,3
35,35,Yes,1,2,Yes,0,5,No,No,,,,3
35,35,Yes,1,2,Yes,0,999,No,Yes,,,,3
35,35,Yes,3,999,Yes,7,999,No,No,,,,2
35,35,Yes,3,999,Yes,0,6.5,No,No,,,,4
40,999,Yes,1,2,Yes,7,999,No,No,,,,3
40,999,Yes,1,2,Yes,5.5,6.5,No,No,,,,4
